deal_id,deal_status,fk_tariff_id,fk_client_id,fk_employee_id
98,Ожидание,5,10076,652
99,Отменена,1,14358,841
100,Отменена,2,13462,988
101,Отменена,1,1186,9
102,Заключена,4,3579,22
103,Заключена,5,13372,19
104,Заключена,3,11259,920
105,Отменена,3,3182,903
106,Заключена,3,7149,919
107,Ожидание,3,10512,547
108,Отменена,2,3673,326
109,Отменена,4,788,568
110,Ожидание,2,12570,808
111,Заключена,3,12265,475
112,Ожидание,4,3940,541
113,Заключена,3,9005,169
114,Ожидание,1,3077,391
115,Заключена,2,8055,922
116,Отменена,3,11835,568
117,Ожидание,4,984,618
118,Отменена,4,11540,145
119,Заключена,2,5021,381
120,Заключена,3,13996,96
121,Заключена,2,14263,239
122,Ожидание,4,2385,744
123,Ожидание,3,5765,558
124,Заключена,4,3843,192
125,Заключена,5,460,209
126,Отменена,5,2596,993
127,Ожидание,2,448,579
128,Заключена,5,2207,344
129,Заключена,2,9690,516
130,Заключена,4,971,809
131,Ожидание,5,14943,530
132,Заключена,2,138,145
133,Отменена,5,10109,700
134,Отменена,1,5736,511
135,Ожидание,5,6731,547
136,Ожидание,2,4016,46
137,Отменена,3,12321,256
138,Ожидание,1,8193,908
139,Ожидание,2,914,530
140,Ожидание,4,6033,227
141,Ожидание,1,12979,785
142,Ожидание,3,3057,580
143,Ожидание,2,8172,303
144,Ожидание,2,11208,968
145,Ожидание,5,13217,835
146,Отменена,3,9699,778
147,Заключена,1,1963,687
148,Отменена,5,3147,903
149,Заключена,1,8655,832
150,Заключена,3,12863,381
151,Заключена,3,8957,751
152,Заключена,2,10858,824
153,Отменена,4,3441,170
154,Заключена,3,2672,837
155,Отменена,1,121,905
156,Ожидание,2,10081,985
157,Ожидание,2,8472,227
158,Ожидание,3,10673,759
159,Заключена,4,12048,807
160,Ожидание,2,2855,417
161,Заключена,4,3827,562
162,Отменена,3,11797,464
163,Отменена,5,8224,281
164,Ожидание,3,14109,863
165,Отменена,2,10052,152
166,Ожидание,3,12780,558
167,Отменена,5,11228,647
168,Ожидание,3,4427,457
169,Ожидание,1,5873,474
170,Отменена,2,3114,565
171,Заключена,4,12844,801
172,Отменена,5,7964,598
173,Ожидание,1,11245,326
174,Отменена,1,11210,736
175,Ожидание,5,11361,194
176,Заключена,2,9245,565
177,Ожидание,3,4246,252
178,Ожидание,5,13425,471
179,Ожидание,2,2531,231
180,Ожидание,5,3849,777
181,Отменена,5,5447,807
182,Ожидание,2,6740,573
183,Ожидание,2,7678,345
184,Отменена,3,14788,547
185,Ожидание,5,11406,11
186,Отменена,3,2099,645
187,Заключена,3,10725,3
188,Ожидание,3,10,70
189,Заключена,5,3074,367
190,Отменена,5,8723,842
191,Отменена,4,2012,400
192,Заключена,1,1196,994
193,Отменена,4,4570,857
194,Отменена,5,4773,56
195,Заключена,2,11945,618
196,Отменена,5,5885,564
197,Отменена,2,6708,572
198,Отменена,5,9472,490
199,Ожидание,2,14493,286
200,Заключена,1,10214,363
201,Заключена,4,2690,146
202,Ожидание,2,7144,949
203,Ожидание,2,9880,605
204,Ожидание,1,7217,143
205,Заключена,1,329,677
206,Отменена,2,5412,657
207,Отменена,2,1847,523
208,Отменена,3,5431,224
209,Отменена,2,1321,198
210,Ожидание,3,5242,711
211,Ожидание,5,3140,624
212,Отменена,5,14395,562
213,Ожидание,3,642,608
214,Ожидание,4,629,604
215,Заключена,3,370,686
216,Отменена,1,10995,488
217,Заключена,5,4244,267
218,Отменена,2,8423,143
219,Заключена,2,14443,523
220,Заключена,2,1978,831
221,Заключена,4,4797,929
222,Ожидание,3,7134,769
223,Отменена,1,6651,558
224,Заключена,5,12088,980
225,Отменена,5,3824,265
226,Заключена,4,11785,701
227,Заключена,5,5910,269
228,Заключена,2,4874,62
229,Ожидание,3,13952,737
230,Отменена,4,12324,447
231,Ожидание,1,6460,530
232,Отменена,5,6086,294
233,Заключена,2,1921,249
234,Заключена,3,5764,952
235,Заключена,4,12292,418
236,Отменена,3,7700,603
237,Ожидание,1,4468,624
238,Заключена,2,7712,715
239,Отменена,2,10194,774
240,Ожидание,5,13749,686
241,Отменена,3,11244,526
242,Ожидание,1,13951,281
243,Отменена,2,7283,587
244,Отменена,1,4052,564
245,Заключена,2,11464,221
246,Отменена,1,14045,658
247,Отменена,1,1515,455
248,Отменена,3,6610,738
249,Заключена,4,2984,149
250,Ожидание,1,9419,246
251,Отменена,1,4599,45
252,Заключена,3,6289,779
253,Отменена,1,6076,221
254,Заключена,4,399,354
255,Отменена,5,3522,120
256,Заключена,2,12448,986
257,Заключена,4,9522,554
258,Заключена,5,10869,183
259,Заключена,5,12842,35
260,Отменена,4,2531,508
261,Заключена,3,11665,582
262,Заключена,3,12297,304
263,Заключена,5,9309,846
264,Заключена,2,7740,706
265,Заключена,5,4220,637
266,Ожидание,4,8191,156
267,Отменена,5,9839,666
268,Отменена,2,844,404
269,Заключена,3,8731,380
270,Ожидание,4,14389,984
271,Отменена,4,2997,320
272,Заключена,4,1901,832
273,Заключена,2,2074,836
274,Ожидание,1,9252,704
275,Заключена,5,12240,396
276,Отменена,3,11945,651
277,Отменена,2,6010,654
278,Ожидание,1,1360,355
279,Заключена,5,12662,22
280,Отменена,1,5904,854
281,Ожидание,5,7457,71
282,Заключена,1,9369,800
283,Заключена,3,10833,31
284,Отменена,2,10428,440
285,Заключена,4,5813,949
286,Ожидание,3,4386,826
287,Ожидание,3,5687,757
288,Заключена,1,1327,764
289,Отменена,4,7562,661
290,Ожидание,5,281,301
291,Ожидание,5,9741,739
292,Ожидание,1,38,274
293,Ожидание,4,7599,599
294,Заключена,3,1960,931
295,Заключена,2,5949,787
296,Отменена,1,4894,269
297,Ожидание,5,7306,879
298,Заключена,3,3191,279
299,Заключена,1,12257,345
300,Заключена,3,8618,930
301,Заключена,4,10934,737
302,Отменена,4,944,71
303,Заключена,4,1781,74
304,Заключена,2,3869,436
305,Отменена,4,6072,852
306,Ожидание,5,4797,162
307,Заключена,3,1421,80
308,Заключена,1,12029,970
309,Отменена,5,8908,2
310,Отменена,3,1448,289
311,Заключена,2,11139,833
312,Отменена,3,5956,753
313,Ожидание,1,14796,933
314,Отменена,4,13035,774
315,Отменена,4,10598,596
316,Заключена,2,3686,371
317,Заключена,4,10870,478
318,Отменена,5,2554,357
319,Заключена,4,9596,812
320,Заключена,3,11805,610
321,Отменена,2,14474,286
322,Ожидание,2,1461,395
323,Ожидание,5,6233,845
324,Отменена,1,1262,400
325,Ожидание,2,3346,531
326,Заключена,1,9761,306
327,Ожидание,2,3401,16
328,Ожидание,5,8057,675
329,Отменена,4,1917,475
330,Отменена,1,2795,931
331,Заключена,1,12094,605
332,Отменена,1,13613,121
333,Ожидание,2,461,336
334,Заключена,4,1182,96
335,Отменена,2,6201,840
336,Заключена,1,11927,9
337,Отменена,3,3387,599
338,Заключена,5,12470,217
339,Отменена,2,31,115
340,Заключена,4,13653,175
341,Отменена,1,12001,457
342,Заключена,2,10363,216
343,Заключена,2,2126,460
344,Отменена,2,4841,420
345,Ожидание,5,7812,457
346,Ожидание,5,9835,899
347,Отменена,5,3593,345
348,Ожидание,1,12185,327
349,Ожидание,1,13069,971
350,Заключена,5,2151,218
351,Отменена,5,5934,591
352,Отменена,2,3514,252
353,Отменена,2,4131,2
354,Ожидание,3,3018,258
355,Отменена,1,8717,469
356,Ожидание,3,6774,994
357,Отменена,2,6741,150
358,Заключена,1,251,605
359,Отменена,1,13062,167
360,Отменена,2,4612,529
361,Ожидание,1,3597,744
362,Ожидание,1,14042,23
363,Заключена,2,1413,679
364,Отменена,5,1958,498
365,Отменена,2,3831,925
366,Ожидание,2,5514,256
367,Отменена,5,3000,166
368,Ожидание,5,8032,844
369,Заключена,5,6540,238
370,Отменена,5,7355,637
371,Отменена,5,565,108
372,Ожидание,5,13033,628
373,Отменена,1,3207,177
374,Отменена,5,2462,1000
375,Заключена,1,2719,163
376,Отменена,3,14094,401
377,Отменена,2,12538,208
378,Отменена,3,10142,398
379,Отменена,5,13620,507
380,Заключена,4,5315,920
381,Отменена,5,4192,245
382,Ожидание,2,9879,678
383,Ожидание,4,12914,798
384,Ожидание,1,6182,822
385,Заключена,2,13410,696
386,Отменена,2,6740,873
387,Заключена,4,8164,348
388,Заключена,2,7214,818
389,Ожидание,5,1360,537
390,Ожидание,4,8004,321
391,Заключена,3,91,844
392,Ожидание,1,9038,60
393,Заключена,5,11405,975
394,Заключена,4,11191,477
395,Отменена,3,8706,794
396,Ожидание,4,2171,26
397,Заключена,2,6356,366
398,Ожидание,3,8356,406
399,Отменена,3,9858,510
400,Заключена,5,5464,516
401,Ожидание,2,14678,939
402,Отменена,4,13063,197
403,Ожидание,4,5392,361
404,Ожидание,2,6551,546
405,Заключена,2,7910,611
406,Заключена,1,10618,580
407,Отменена,3,3139,350
408,Ожидание,4,3647,57
409,Заключена,5,8019,213
410,Ожидание,5,4308,918
411,Отменена,3,926,818
412,Заключена,3,8590,303
413,Заключена,4,2994,165
414,Отменена,1,6059,830
415,Заключена,3,10562,226
416,Ожидание,5,2982,110
417,Отменена,5,63,286
418,Ожидание,5,8949,174
419,Отменена,4,13432,136
420,Отменена,2,8173,474
421,Заключена,2,10387,206
422,Отменена,2,13293,131
423,Отменена,1,8269,566
424,Ожидание,2,10822,233
425,Ожидание,5,9490,86
426,Заключена,5,14115,25
427,Ожидание,2,13137,245
428,Заключена,3,4581,273
429,Заключена,5,12718,174
430,Отменена,5,11395,275
431,Заключена,4,12232,809
432,Ожидание,3,9336,706
433,Ожидание,5,13,28
434,Ожидание,5,9851,550
435,Заключена,1,4723,736
436,Отменена,3,4468,421
437,Отменена,4,9532,311
438,Отменена,2,12505,656
439,Заключена,4,3927,789
440,Ожидание,3,7120,855
441,Заключена,4,8862,304
442,Заключена,4,9002,752
443,Отменена,1,12751,475
444,Заключена,4,1000,326
445,Заключена,1,824,50
446,Ожидание,5,7155,730
447,Заключена,3,2117,926
448,Заключена,3,9415,274
449,Заключена,2,1509,106
450,Ожидание,4,7298,942
451,Ожидание,5,4261,150
452,Ожидание,4,11397,230
453,Заключена,5,8718,945
454,Заключена,4,3889,468
455,Заключена,5,3719,743
456,Заключена,3,1180,985
457,Ожидание,3,11286,695
458,Отменена,4,272,296
459,Отменена,1,6432,398
460,Ожидание,2,6894,460
461,Заключена,2,8073,295
462,Отменена,5,3250,958
463,Отменена,2,14858,511
464,Ожидание,4,7899,129
465,Ожидание,2,6082,962
466,Ожидание,1,3764,457
467,Ожидание,4,5132,851
468,Заключена,2,9187,627
469,Отменена,4,5994,221
470,Ожидание,4,8298,371
471,Ожидание,2,1073,710
472,Отменена,5,1425,818
473,Заключена,4,6780,133
474,Заключена,4,7140,11
475,Ожидание,4,7983,588
476,Ожидание,1,4074,326
477,Заключена,4,3058,889
478,Отменена,2,12660,533
479,Отменена,1,3793,692
480,Заключена,5,10027,223
481,Ожидание,4,6717,376
482,Ожидание,4,7661,28
483,Отменена,1,11136,538
484,Ожидание,2,2408,351
485,Отменена,2,3552,919
486,Заключена,5,10369,652
487,Ожидание,5,7553,54
488,Отменена,5,7985,640
489,Отменена,1,3826,285
490,Отменена,4,4719,779
491,Заключена,2,3673,974
492,Отменена,4,6772,62
493,Заключена,4,649,582
494,Ожидание,1,2125,334
495,Ожидание,1,6656,110
496,Отменена,3,2315,897
497,Отменена,1,6686,698
498,Ожидание,4,8457,141
499,Отменена,3,10848,480
500,Отменена,5,1995,303
501,Заключена,4,4792,800
502,Ожидание,1,14035,352
503,Ожидание,2,11315,708
504,Ожидание,3,7987,208
505,Заключена,1,1124,998
506,Отменена,2,4464,44
507,Отменена,5,5661,100
508,Ожидание,4,6889,830
509,Заключена,3,12565,637
510,Отменена,5,8788,754
511,Заключена,5,6494,104
512,Заключена,5,14467,56
513,Заключена,5,1514,775
514,Ожидание,1,2288,573
515,Заключена,1,3989,997
516,Ожидание,2,1102,802
517,Отменена,3,7105,731
518,Заключена,2,14703,752
519,Отменена,4,4785,978
520,Заключена,4,6338,83
521,Ожидание,1,14525,841
522,Отменена,3,9935,291
523,Ожидание,3,12908,933
524,Заключена,1,4145,171
525,Заключена,4,7981,785
526,Отменена,4,10171,538
527,Заключена,2,4555,707
528,Отменена,4,4867,335
529,Заключена,2,7043,831
530,Отменена,2,4475,503
531,Заключена,2,2730,165
532,Отменена,3,9906,101
533,Ожидание,5,2197,145
534,Ожидание,2,4242,644
535,Ожидание,1,9878,143
536,Отменена,3,3628,366
537,Заключена,3,9026,248
538,Отменена,2,6169,338
539,Заключена,5,4615,113
540,Ожидание,2,9129,776
541,Отменена,2,7761,586
542,Отменена,4,12383,900
543,Ожидание,4,3964,115
544,Ожидание,2,5931,479
545,Отменена,4,9681,660
546,Ожидание,3,7743,742
547,Отменена,3,4592,896
548,Отменена,3,6720,530
549,Ожидание,3,2915,754
550,Отменена,2,11997,291
551,Ожидание,5,1319,664
552,Отменена,5,5362,269
553,Ожидание,2,2817,841
554,Ожидание,1,10236,300
555,Заключена,2,821,532
556,Заключена,3,10225,791
557,Отменена,2,1741,728
558,Заключена,2,11558,1
559,Заключена,4,1158,443
560,Отменена,5,2803,655
561,Ожидание,4,3004,871
562,Ожидание,1,14921,540
563,Ожидание,1,4702,492
564,Заключена,2,7981,363
565,Ожидание,3,9400,320
566,Отменена,3,8212,302
567,Ожидание,2,11373,48
568,Заключена,3,11715,160
569,Заключена,2,10191,785
570,Отменена,3,5166,494
571,Заключена,3,10496,446
572,Заключена,3,13584,426
573,Заключена,5,14968,740
574,Отменена,5,5462,487
575,Ожидание,5,4213,525
576,Отменена,2,8068,874
577,Отменена,4,12195,180
578,Отменена,2,14180,123
579,Заключена,4,3002,339
580,Отменена,1,11234,133
581,Ожидание,1,10040,718
582,Отменена,2,1635,169
583,Ожидание,2,13941,971
584,Заключена,1,6790,260
585,Заключена,1,3388,394
586,Заключена,5,8542,289
587,Ожидание,4,2720,739
588,Заключена,3,14841,445
589,Заключена,1,14685,286
590,Заключена,5,2312,622
591,Ожидание,3,11506,154
592,Ожидание,2,9978,113
593,Отменена,3,5784,256
594,Заключена,3,3621,411
595,Ожидание,5,652,885
596,Отменена,4,4301,696
597,Ожидание,3,3109,443
598,Ожидание,4,10747,431
599,Отменена,2,12072,830
600,Заключена,2,13607,598
601,Заключена,2,1460,491
602,Заключена,4,10971,21
603,Отменена,3,6031,512
604,Заключена,3,678,360
605,Отменена,5,4372,591
606,Отменена,1,6977,80
607,Ожидание,3,5470,347
608,Заключена,2,1365,926
609,Ожидание,2,7090,647
610,Отменена,5,11152,706
611,Отменена,2,4076,702
612,Заключена,4,10650,33
613,Отменена,1,8813,424
614,Ожидание,3,5781,799
615,Ожидание,3,1688,289
616,Ожидание,4,2249,64
617,Отменена,5,14722,720
618,Ожидание,5,12425,333
619,Заключена,4,7292,675
620,Ожидание,2,10599,643
621,Отменена,4,3401,800
622,Отменена,5,5883,966
623,Ожидание,1,2403,309
624,Ожидание,2,5701,113
625,Ожидание,5,12289,319
626,Ожидание,3,10089,101
627,Ожидание,2,4397,831
628,Ожидание,4,12453,496
629,Заключена,2,12314,907
630,Заключена,4,6313,118
631,Отменена,1,4719,288
632,Ожидание,5,14604,498
633,Отменена,2,5312,54
634,Отменена,4,4203,826
635,Заключена,2,13233,794
636,Заключена,1,1664,562
637,Ожидание,2,5516,917
638,Ожидание,2,9549,218
639,Отменена,4,4845,834
640,Отменена,4,14239,346
641,Ожидание,3,1758,951
642,Ожидание,3,12971,253
643,Ожидание,4,1355,746
644,Заключена,2,5736,560
645,Ожидание,4,5837,601
646,Заключена,2,14943,421
647,Отменена,4,1352,364
648,Отменена,1,15000,412
649,Отменена,2,1585,148
650,Ожидание,3,4273,352
651,Отменена,4,6500,560
652,Отменена,1,13610,919
653,Отменена,4,8635,438
654,Ожидание,1,12779,673
655,Отменена,3,12185,477
656,Ожидание,1,3329,697
657,Ожидание,1,5670,349
658,Ожидание,1,4625,789
659,Отменена,2,13059,829
660,Заключена,5,14351,803
661,Заключена,3,5650,433
662,Заключена,5,6624,703
663,Отменена,5,13895,334
664,Отменена,5,7963,756
665,Отменена,1,10987,272
666,Ожидание,5,10873,931
667,Заключена,1,10926,622
668,Ожидание,3,12006,168
669,Ожидание,2,14628,632
670,Отменена,5,1817,577
671,Заключена,4,1034,612
672,Заключена,2,6310,478
673,Ожидание,5,9741,234
674,Заключена,2,9215,736
675,Заключена,1,2905,411
676,Заключена,1,10279,532
677,Отменена,3,2560,272
678,Заключена,4,10911,146
679,Ожидание,1,7137,482
680,Заключена,5,13892,882
681,Отменена,4,11555,741
682,Заключена,4,9203,624
683,Заключена,3,4063,618
684,Отменена,3,9232,377
685,Ожидание,3,3060,220
686,Заключена,5,9138,496
687,Заключена,3,4617,472
688,Ожидание,3,9556,93
689,Отменена,1,4059,183
690,Отменена,3,11187,11
691,Заключена,1,13215,843
692,Ожидание,3,14400,537
693,Отменена,4,7689,74
694,Ожидание,3,2375,48
695,Заключена,5,10038,151
696,Заключена,4,11038,27
697,Ожидание,2,9991,55
698,Заключена,3,4125,436
699,Отменена,4,8720,904
700,Заключена,4,11151,648
701,Отменена,1,7012,235
702,Заключена,5,7179,976
703,Ожидание,1,3294,401
704,Заключена,3,10253,38
705,Заключена,1,7794,306
706,Отменена,1,2096,197
707,Ожидание,4,7591,384
708,Отменена,3,11746,602
709,Ожидание,1,971,726
710,Заключена,4,6729,27
711,Отменена,5,11916,722
712,Отменена,1,9163,646
713,Отменена,5,3317,934
714,Заключена,4,5666,550
715,Отменена,2,1320,94
716,Заключена,1,12449,515
717,Заключена,4,8101,366
718,Отменена,1,13381,662
719,Ожидание,3,13822,404
720,Заключена,2,12225,120
721,Ожидание,2,6984,523
722,Заключена,1,12254,174
723,Отменена,5,6947,183
724,Ожидание,5,12764,880
725,Ожидание,3,1926,385
726,Ожидание,1,2877,480
727,Заключена,4,13020,309
728,Отменена,2,4461,142
729,Заключена,5,4730,561
730,Отменена,5,13195,227
731,Заключена,4,8202,838
732,Заключена,2,14078,487
733,Отменена,3,7409,601
734,Отменена,3,13850,167
735,Заключена,3,10865,657
736,Ожидание,3,12674,629
737,Ожидание,1,2070,625
738,Заключена,3,858,855
739,Отменена,5,12842,189
740,Ожидание,1,5838,909
741,Ожидание,2,13065,374
742,Ожидание,3,2336,521
743,Заключена,3,10697,481
744,Отменена,5,5565,181
745,Ожидание,5,8730,872
746,Ожидание,4,8875,640
747,Отменена,1,10259,166
748,Отменена,5,14411,136
749,Ожидание,1,7185,979
750,Ожидание,1,5491,438
751,Заключена,2,5541,571
752,Заключена,4,12560,10
753,Отменена,2,7822,494
754,Заключена,3,3965,439
755,Ожидание,5,13471,694
756,Отменена,2,9918,644
757,Заключена,3,6423,724
758,Заключена,5,13922,321
759,Отменена,3,9261,862
760,Заключена,1,4087,472
761,Отменена,1,11561,289
762,Отменена,4,3227,126
763,Отменена,1,8790,342
764,Ожидание,1,3892,912
765,Заключена,1,2064,955
766,Заключена,4,5120,285
767,Заключена,5,10017,265
768,Отменена,2,9646,895
769,Заключена,5,3820,352
770,Заключена,3,4962,809
771,Отменена,1,9742,437
772,Отменена,3,2431,862
773,Отменена,4,5120,764
774,Ожидание,3,5295,834
775,Заключена,2,2454,310
776,Заключена,2,2593,172
777,Отменена,5,3219,182
778,Ожидание,3,4963,926
779,Заключена,4,14922,921
780,Ожидание,2,6108,766
781,Отменена,3,12978,198
782,Отменена,1,14265,739
783,Ожидание,1,6872,667
784,Ожидание,3,8135,109
785,Отменена,5,13937,758
786,Заключена,1,12036,878
787,Отменена,2,12617,846
788,Заключена,3,6254,992
789,Заключена,4,6570,697
790,Ожидание,1,6672,611
791,Отменена,4,7893,270
792,Отменена,1,9247,697
793,Ожидание,1,14943,2
794,Отменена,4,13062,4
795,Заключена,4,3121,10
796,Заключена,5,983,378
797,Отменена,5,8186,775
798,Ожидание,4,13965,614
799,Ожидание,4,12239,263
800,Ожидание,5,2205,857
801,Заключена,1,6729,786
802,Заключена,4,3129,12
803,Отменена,4,6406,350
804,Ожидание,3,3161,238
805,Ожидание,1,9394,328
806,Отменена,1,4473,122
807,Заключена,4,14053,27
808,Ожидание,3,9047,990
809,Заключена,2,7244,148
810,Заключена,4,14125,22
811,Ожидание,4,10168,632
812,Отменена,4,143,203
813,Заключена,3,787,517
814,Ожидание,3,4116,523
815,Ожидание,1,1763,344
816,Заключена,1,7293,404
817,Заключена,3,1017,603
818,Отменена,1,12298,330
819,Отменена,4,2147,727
820,Отменена,3,3612,811
821,Ожидание,4,1202,442
822,Заключена,2,1524,82
823,Заключена,4,6050,319
824,Отменена,4,8811,683
825,Ожидание,1,2075,648
826,Отменена,1,884,868
827,Ожидание,1,2510,549
828,Заключена,2,9160,235
829,Заключена,2,1329,892
830,Отменена,4,1236,170
831,Заключена,4,4874,50
832,Заключена,5,11981,66
833,Заключена,4,1486,752
834,Ожидание,2,10808,667
835,Отменена,5,10810,603
836,Отменена,3,92,457
837,Отменена,3,13687,828
838,Ожидание,2,12002,23
839,Ожидание,5,2160,30
840,Отменена,5,4438,182
841,Заключена,4,10552,151
842,Отменена,1,14256,528
843,Отменена,1,7033,34
844,Отменена,2,12857,308
845,Ожидание,4,9204,368
846,Отменена,4,10078,154
847,Отменена,3,6429,237
848,Заключена,3,2349,76
849,Ожидание,1,8122,285
850,Заключена,4,10942,534
851,Отменена,2,14892,484
852,Ожидание,4,8179,982
853,Заключена,1,51,282
854,Отменена,3,10102,162
855,Заключена,3,14134,946
856,Заключена,3,3632,954
857,Заключена,1,14126,325
858,Ожидание,1,14333,423
859,Отменена,1,8898,50
860,Ожидание,3,10283,858
861,Ожидание,4,1548,655
862,Ожидание,4,532,631
863,Отменена,1,2545,939
864,Заключена,3,8318,337
865,Ожидание,1,9458,690
866,Заключена,4,4674,6
867,Заключена,3,14740,69
868,Ожидание,4,3152,25
869,Заключена,5,990,886
870,Ожидание,3,8500,317
871,Ожидание,4,8646,626
872,Ожидание,1,7690,45
873,Ожидание,2,4786,624
874,Ожидание,3,6223,531
875,Ожидание,2,4890,47
876,Отменена,4,13607,892
877,Заключена,4,17,15
878,Заключена,3,6118,968
879,Заключена,4,7344,991
880,Заключена,3,8930,569
881,Ожидание,1,8948,599
882,Ожидание,1,1665,195
883,Отменена,3,14241,591
884,Отменена,4,14369,339
885,Заключена,3,7361,210
886,Заключена,3,4066,997
887,Ожидание,3,14066,313
888,Ожидание,3,7985,677
889,Заключена,5,2302,320
890,Отменена,5,960,938
891,Заключена,2,5438,844
892,Заключена,2,14827,816
893,Ожидание,1,9727,890
894,Заключена,2,14470,974
895,Заключена,1,11694,555
896,Заключена,2,14414,47
897,Ожидание,4,6224,572
898,Заключена,2,6328,553
899,Заключена,2,1528,919
900,Ожидание,3,645,486
901,Отменена,3,569,376
902,Заключена,1,14902,981
903,Заключена,5,11557,270
904,Отменена,4,1936,635
905,Ожидание,5,8625,199
906,Заключена,5,11353,581
907,Заключена,4,9009,308
908,Отменена,4,14500,455
909,Ожидание,4,4883,233
910,Заключена,2,2571,688
911,Ожидание,4,5320,290
912,Отменена,5,2659,127
913,Ожидание,3,10679,654
914,Заключена,4,4837,891
915,Отменена,3,9625,906
916,Отменена,4,6244,347
917,Заключена,4,13036,201
918,Заключена,1,536,863
919,Заключена,5,8517,650
920,Ожидание,2,12268,548
921,Отменена,2,9379,977
922,Ожидание,5,13708,956
923,Заключена,2,761,426
924,Заключена,1,4672,900
925,Отменена,1,6493,604
926,Ожидание,4,9905,268
927,Заключена,3,76,99
928,Заключена,1,8934,379
929,Ожидание,4,3258,556
930,Заключена,5,12636,397
931,Заключена,3,14444,412
932,Отменена,1,12919,914
933,Ожидание,4,10038,596
934,Заключена,5,11290,404
935,Отменена,1,3577,986
936,Заключена,3,6297,119
937,Ожидание,5,13607,34
938,Ожидание,5,5070,479
939,Ожидание,2,12740,520
940,Заключена,2,11886,808
941,Заключена,4,8537,14
942,Заключена,3,4490,868
943,Ожидание,5,6760,530
944,Заключена,4,8288,151
945,Заключена,2,2337,667
946,Заключена,5,1711,876
947,Заключена,2,8793,797
948,Отменена,5,606,500
949,Заключена,1,13676,331
950,Заключена,3,2418,467
951,Ожидание,4,3164,55
952,Заключена,4,7054,423
953,Отменена,4,14068,941
954,Ожидание,1,846,77
955,Ожидание,2,5594,488
956,Отменена,5,7757,127
957,Отменена,5,3413,447
958,Заключена,2,12118,643
959,Отменена,3,2172,317
960,Заключена,1,2979,30
961,Отменена,5,9250,326
962,Отменена,3,6281,654
963,Ожидание,2,10293,799
964,Заключена,5,1278,768
965,Ожидание,1,7211,989
966,Ожидание,2,12322,89
967,Отменена,1,3833,872
968,Ожидание,5,5344,674
969,Ожидание,1,1673,419
970,Отменена,2,13202,953
971,Ожидание,4,396,527
972,Заключена,4,12128,708
973,Заключена,4,13883,564
974,Ожидание,3,6192,64
975,Отменена,4,1173,267
976,Отменена,2,13885,16
977,Отменена,3,2450,577
