subtask_id,subtask_description,subtask_status,fk_task_id
49,Перепроверить логи на наличие ошибок входа клиента.,False,25
50,Подтвердить активацию тарифа по email.,True,25
51,Добавить напоминание о повторной связи.,True,26
52,Уточнить детали обращения через внутренний чат.,False,26
53,Завести карточку клиента в сторонней учётной системе.,True,26
54,Зафиксировать результаты тестирования сервиса.,False,26
55,Зафиксировать результаты тестирования сервиса.,False,27
56,Зафиксировать результаты тестирования сервиса.,False,28
57,Отправить уведомление о продлении хостинга.,True,28
58,Оценить техническую сложность обращения.,True,28
59,Отметить прогресс в CRM.,True,29
60,Зафиксировать результаты тестирования сервиса.,False,29
61,Уточнить информацию у коллег из техподдержки.,True,29
62,Обновить статус подзадачи в системе.,True,29
63,Завести карточку клиента в сторонней учётной системе.,False,31
64,Уточнить информацию у коллег из техподдержки.,False,31
65,Зафиксировать результаты тестирования сервиса.,False,32
66,Уточнить детали обращения через внутренний чат.,True,32
67,Проверить наличие активной учётной записи клиента в базе.,False,33
68,Оценить техническую сложность обращения.,True,33
69,Назначить ответственное лицо за выполнение задачи.,False,33
70,Проверить доступ клиента к панели управления.,False,34
71,Зарегистрировать новое обращение в трекере.,True,35
72,Проверить почтовый SPF-запись клиента.,True,35
73,Выполнить тестовую регистрацию домена.,True,35
74,Уточнить детали обращения через внутренний чат.,True,36
75,Уточнить детали обращения через внутренний чат.,True,38
76,Проверить наличие активной учётной записи клиента в базе.,False,38
77,Проверить успешность привязки домена.,False,38
78,Зарегистрировать новое обращение в трекере.,False,38
79,Проверить почтовый SPF-запись клиента.,False,39
80,Проверить шаблон ответа перед отправкой клиенту.,True,39
81,Перепроверить логи на наличие ошибок входа клиента.,True,40
82,Добавить примечание в CRM о ходе обращения.,True,40
83,Отметить прогресс в CRM.,False,41
84,Приложить скриншоты к заявке клиента.,True,41
85,Обновить статус подзадачи в системе.,True,41
86,Отметить прогресс в CRM.,True,42
87,Завести карточку клиента в сторонней учётной системе.,True,43
88,Проверить шаблон ответа перед отправкой клиенту.,True,43
89,Оценить техническую сложность обращения.,False,43
90,Выполнить тестовую регистрацию домена.,True,44
91,Зарегистрировать новое обращение в трекере.,True,44
92,Уточнить сроки выполнения у технического отдела.,False,44
93,Проверить наличие активной учётной записи клиента в базе.,True,44
94,Перепроверить логи на наличие ошибок входа клиента.,True,45
95,Зафиксировать результаты тестирования сервиса.,False,45
96,Зарегистрировать новое обращение в трекере.,True,45
97,Назначить ответственное лицо за выполнение задачи.,True,46
98,Проверить шаблон ответа перед отправкой клиенту.,True,46
99,Уточнить информацию у коллег из техподдержки.,True,46
100,Уточнить детали обращения через внутренний чат.,False,46
101,Добавить напоминание о повторной связи.,False,47
102,Создать черновик инструкции на основе обращения.,False,47
103,Проверить наличие активной учётной записи клиента в базе.,False,48
104,Проверить успешность привязки домена.,False,49
105,Создать черновик инструкции на основе обращения.,True,50
106,Завести карточку клиента в сторонней учётной системе.,True,50
107,Оценить техническую сложность обращения.,False,50
108,Перепроверить логи на наличие ошибок входа клиента.,True,51
109,Зафиксировать результаты тестирования сервиса.,True,51
110,Уточнить детали обращения через внутренний чат.,True,52
111,Оценить техническую сложность обращения.,False,53
112,Сверить данные клиента с оформленным заказом.,False,53
113,Добавить напоминание о повторной связи.,True,53
114,Назначить ответственное лицо за выполнение задачи.,False,54
115,Проверить наличие активной учётной записи клиента в базе.,False,54
116,Проверить успешность привязки домена.,False,54
117,Создать черновик инструкции на основе обращения.,True,56
118,Уточнить детали обращения через внутренний чат.,False,56
119,Обновить статус подзадачи в системе.,True,56
120,Отправить уведомление о продлении хостинга.,True,58
121,Зарегистрировать новое обращение в трекере.,True,58
122,Зарегистрировать новое обращение в трекере.,False,59
123,Добавить примечание в CRM о ходе обращения.,True,59
124,Проверить успешность привязки домена.,False,59
125,Уточнить информацию у коллег из техподдержки.,False,59
126,Сверить данные клиента с оформленным заказом.,False,60
127,Подтвердить активацию тарифа по email.,False,60
128,Отправить уведомление о продлении хостинга.,True,60
129,Обновить статус подзадачи в системе.,True,61
130,Зафиксировать результаты тестирования сервиса.,False,62
131,Перепроверить логи на наличие ошибок входа клиента.,False,62
132,Создать черновик инструкции на основе обращения.,True,62
133,Проверить почтовый SPF-запись клиента.,False,62
134,Зафиксировать результаты тестирования сервиса.,True,63
135,Отметить прогресс в CRM.,False,63
136,Связаться с клиентом для подтверждения решения.,False,63
137,Проверить доступ клиента к панели управления.,False,63
138,Выполнить тестовую регистрацию домена.,False,64
139,Завести карточку клиента в сторонней учётной системе.,False,65
140,Добавить напоминание о повторной связи.,False,65
141,Проверить успешность привязки домена.,True,66
142,Обновить статус подзадачи в системе.,True,66
143,Уточнить сроки выполнения у технического отдела.,True,66
144,Связаться с клиентом для подтверждения решения.,False,66
145,Назначить ответственное лицо за выполнение задачи.,False,67
146,Завести карточку клиента в сторонней учётной системе.,True,67
147,Проверить успешность привязки домена.,False,67
148,Зафиксировать результаты тестирования сервиса.,True,67
149,Сверить данные клиента с оформленным заказом.,False,69
150,Перепроверить логи на наличие ошибок входа клиента.,False,70
151,Зарегистрировать новое обращение в трекере.,False,70
152,Выполнить тестовую регистрацию домена.,True,71
153,Приложить скриншоты к заявке клиента.,False,71
154,Обновить статус подзадачи в системе.,False,71
155,Подтвердить активацию тарифа по email.,True,72
156,Проверить наличие активной учётной записи клиента в базе.,True,73
157,Зарегистрировать новое обращение в трекере.,True,75
158,Зафиксировать результаты тестирования сервиса.,True,77
159,Оценить техническую сложность обращения.,True,77
160,Проверить почтовый SPF-запись клиента.,False,77
161,Проверить наличие активной учётной записи клиента в базе.,False,78
162,Уточнить детали обращения через внутренний чат.,False,78
163,Проверить доступ клиента к панели управления.,True,78
164,Приложить скриншоты к заявке клиента.,False,78
165,Создать черновик инструкции на основе обращения.,False,79
166,Проверить доступ клиента к панели управления.,False,79
167,Зарегистрировать новое обращение в трекере.,False,79
168,Создать черновик инструкции на основе обращения.,True,80
169,Проверить успешность привязки домена.,True,80
170,Отметить прогресс в CRM.,False,80
171,Отправить уведомление о продлении хостинга.,True,81
172,Зарегистрировать новое обращение в трекере.,True,82
173,Оценить техническую сложность обращения.,True,85
174,Обновить статус подзадачи в системе.,False,85
175,Проверить наличие активной учётной записи клиента в базе.,True,87
176,Зафиксировать результаты тестирования сервиса.,False,87
177,Зафиксировать результаты тестирования сервиса.,False,88
178,Проверить успешность привязки домена.,True,88
179,Проверить успешность привязки домена.,True,89
180,Назначить ответственное лицо за выполнение задачи.,False,89
181,Уточнить сроки выполнения у технического отдела.,False,89
182,Проверить почтовый SPF-запись клиента.,True,90
183,Проверить наличие активной учётной записи клиента в базе.,True,90
184,Проверить доступ клиента к панели управления.,True,90
185,Сверить данные клиента с оформленным заказом.,False,90
186,Добавить напоминание о повторной связи.,True,91
187,Отправить уведомление о продлении хостинга.,True,92
188,Проверить почтовый SPF-запись клиента.,False,92
189,Приложить скриншоты к заявке клиента.,False,92
190,Создать черновик инструкции на основе обращения.,False,92
191,Проверить почтовый SPF-запись клиента.,False,94
192,Перепроверить логи на наличие ошибок входа клиента.,False,94
193,Выполнить тестовую регистрацию домена.,False,94
194,Завести карточку клиента в сторонней учётной системе.,True,94
195,Проверить успешность привязки домена.,True,95
196,Уточнить детали обращения через внутренний чат.,True,95
197,Назначить ответственное лицо за выполнение задачи.,False,98
198,Уточнить информацию у коллег из техподдержки.,False,98
199,Проверить доступ клиента к панели управления.,True,98
200,Создать черновик инструкции на основе обращения.,False,100
201,Зафиксировать результаты тестирования сервиса.,True,101
202,Добавить примечание в CRM о ходе обращения.,True,101
203,Уточнить сроки выполнения у технического отдела.,True,101
204,Уточнить информацию у коллег из техподдержки.,True,102
205,Перепроверить логи на наличие ошибок входа клиента.,False,102
206,Добавить напоминание о повторной связи.,False,102
207,Уточнить сроки выполнения у технического отдела.,False,103
208,Добавить примечание в CRM о ходе обращения.,False,105
209,Приложить скриншоты к заявке клиента.,False,105
210,Уточнить информацию у коллег из техподдержки.,True,106
211,Подтвердить активацию тарифа по email.,False,107
212,Сверить данные клиента с оформленным заказом.,False,107
213,Назначить ответственное лицо за выполнение задачи.,False,107
214,Выполнить тестовую регистрацию домена.,True,108
215,Проверить шаблон ответа перед отправкой клиенту.,False,108
216,Приложить скриншоты к заявке клиента.,False,108
217,Отметить прогресс в CRM.,False,108
218,Приложить скриншоты к заявке клиента.,True,109
219,Отправить уведомление о продлении хостинга.,False,109
220,Обновить статус подзадачи в системе.,True,109
221,Проверить доступ клиента к панели управления.,False,110
222,Создать черновик инструкции на основе обращения.,False,111
223,Зарегистрировать новое обращение в трекере.,True,111
224,Обновить статус подзадачи в системе.,True,112
225,Отметить прогресс в CRM.,True,112
226,Оценить техническую сложность обращения.,True,114
227,Создать черновик инструкции на основе обращения.,False,114
228,Назначить ответственное лицо за выполнение задачи.,True,114
229,Обновить статус подзадачи в системе.,False,115
230,Проверить успешность привязки домена.,False,115
231,Проверить доступ клиента к панели управления.,True,115
232,Оценить техническую сложность обращения.,True,115
233,Проверить успешность привязки домена.,False,116
234,Зафиксировать результаты тестирования сервиса.,True,117
235,Проверить доступ клиента к панели управления.,False,117
236,Сверить данные клиента с оформленным заказом.,False,120
237,Уточнить информацию у коллег из техподдержки.,False,120
238,Проверить почтовый SPF-запись клиента.,False,121
239,Проверить доступ клиента к панели управления.,True,121
240,Отправить уведомление о продлении хостинга.,False,121
241,Добавить примечание в CRM о ходе обращения.,False,121
242,Добавить примечание в CRM о ходе обращения.,False,122
243,Завести карточку клиента в сторонней учётной системе.,False,122
244,Проверить почтовый SPF-запись клиента.,True,122
245,Уточнить сроки выполнения у технического отдела.,False,124
246,Отправить уведомление о продлении хостинга.,True,124
247,Создать черновик инструкции на основе обращения.,False,124
248,Подтвердить активацию тарифа по email.,True,125
249,Сверить данные клиента с оформленным заказом.,True,125
250,Проверить доступ клиента к панели управления.,False,125
251,Сверить данные клиента с оформленным заказом.,False,127
252,Связаться с клиентом для подтверждения решения.,True,127
253,Зафиксировать результаты тестирования сервиса.,False,127
254,Добавить примечание в CRM о ходе обращения.,False,129
255,Проверить успешность привязки домена.,False,129
256,Отправить уведомление о продлении хостинга.,False,130
257,Проверить наличие активной учётной записи клиента в базе.,False,130
258,Проверить шаблон ответа перед отправкой клиенту.,True,130
259,Проверить успешность привязки домена.,False,130
260,Добавить напоминание о повторной связи.,False,131
261,Уточнить сроки выполнения у технического отдела.,False,131
262,Проверить успешность привязки домена.,True,133
263,Завести карточку клиента в сторонней учётной системе.,False,133
264,Отправить уведомление о продлении хостинга.,True,134
265,Проверить шаблон ответа перед отправкой клиенту.,True,134
266,Уточнить сроки выполнения у технического отдела.,True,135
267,Уточнить детали обращения через внутренний чат.,False,135
268,Создать черновик инструкции на основе обращения.,True,135
269,Оценить техническую сложность обращения.,True,136
270,Проверить наличие активной учётной записи клиента в базе.,True,136
271,Отметить прогресс в CRM.,True,136
272,Подтвердить активацию тарифа по email.,False,137
273,Проверить шаблон ответа перед отправкой клиенту.,True,138
274,Зафиксировать результаты тестирования сервиса.,True,138
275,Отправить уведомление о продлении хостинга.,False,138
276,Сверить данные клиента с оформленным заказом.,False,139
277,Назначить ответственное лицо за выполнение задачи.,True,139
278,Добавить напоминание о повторной связи.,True,139
279,Уточнить детали обращения через внутренний чат.,True,140
280,Отметить прогресс в CRM.,True,140
281,Связаться с клиентом для подтверждения решения.,False,141
282,Отметить прогресс в CRM.,False,141
283,Приложить скриншоты к заявке клиента.,False,141
284,Отправить уведомление о продлении хостинга.,True,141
285,Отправить уведомление о продлении хостинга.,True,142
286,Создать черновик инструкции на основе обращения.,True,144
287,Отметить прогресс в CRM.,False,144
288,Приложить скриншоты к заявке клиента.,True,145
289,Связаться с клиентом для подтверждения решения.,True,145
290,Завести карточку клиента в сторонней учётной системе.,True,146
291,Проверить наличие активной учётной записи клиента в базе.,False,146
292,Добавить примечание в CRM о ходе обращения.,False,146
293,Проверить шаблон ответа перед отправкой клиенту.,False,147
294,Приложить скриншоты к заявке клиента.,True,147
295,Подтвердить активацию тарифа по email.,True,147
296,Уточнить информацию у коллег из техподдержки.,False,147
297,Добавить напоминание о повторной связи.,False,148
298,Добавить примечание в CRM о ходе обращения.,False,148
299,Зарегистрировать новое обращение в трекере.,False,148
300,Обновить статус подзадачи в системе.,False,148
301,Уточнить сроки выполнения у технического отдела.,True,149
302,Завести карточку клиента в сторонней учётной системе.,False,149
303,Проверить доступ клиента к панели управления.,False,149
304,Зафиксировать результаты тестирования сервиса.,False,150
305,Проверить шаблон ответа перед отправкой клиенту.,False,150
306,Отметить прогресс в CRM.,False,150
307,Уточнить детали обращения через внутренний чат.,False,151
308,Завести карточку клиента в сторонней учётной системе.,False,151
309,Проверить успешность привязки домена.,True,151
310,Добавить напоминание о повторной связи.,True,151
311,Обновить статус подзадачи в системе.,True,152
312,Проверить шаблон ответа перед отправкой клиенту.,False,152
313,Уточнить сроки выполнения у технического отдела.,True,152
314,Добавить напоминание о повторной связи.,True,154
315,Подтвердить активацию тарифа по email.,False,154
316,Приложить скриншоты к заявке клиента.,False,154
317,Добавить напоминание о повторной связи.,True,156
318,Создать черновик инструкции на основе обращения.,False,157
319,Зафиксировать результаты тестирования сервиса.,True,157
320,Отметить прогресс в CRM.,False,158
321,Отправить уведомление о продлении хостинга.,False,158
322,Добавить напоминание о повторной связи.,True,158
323,Связаться с клиентом для подтверждения решения.,False,158
324,Связаться с клиентом для подтверждения решения.,True,159
325,Выполнить тестовую регистрацию домена.,False,159
326,Создать черновик инструкции на основе обращения.,False,160
327,Зафиксировать результаты тестирования сервиса.,False,161
328,Обновить статус подзадачи в системе.,True,162
329,Проверить почтовый SPF-запись клиента.,False,162
330,Проверить успешность привязки домена.,False,162
331,Проверить доступ клиента к панели управления.,False,163
332,Связаться с клиентом для подтверждения решения.,True,163
333,Подтвердить активацию тарифа по email.,True,164
334,Оценить техническую сложность обращения.,True,164
335,Сверить данные клиента с оформленным заказом.,True,164
336,Уточнить информацию у коллег из техподдержки.,False,164
337,Назначить ответственное лицо за выполнение задачи.,True,166
338,Связаться с клиентом для подтверждения решения.,True,166
339,Оценить техническую сложность обращения.,False,167
340,Добавить напоминание о повторной связи.,True,167
341,Проверить успешность привязки домена.,False,167
342,Создать черновик инструкции на основе обращения.,True,167
343,Добавить напоминание о повторной связи.,True,168
344,Связаться с клиентом для подтверждения решения.,False,169
345,Добавить напоминание о повторной связи.,True,170
346,Перепроверить логи на наличие ошибок входа клиента.,True,170
347,Проверить шаблон ответа перед отправкой клиенту.,True,170
348,Отметить прогресс в CRM.,False,170
349,Связаться с клиентом для подтверждения решения.,False,171
350,Назначить ответственное лицо за выполнение задачи.,True,171
351,Зафиксировать результаты тестирования сервиса.,False,171
352,Уточнить детали обращения через внутренний чат.,False,171
353,Связаться с клиентом для подтверждения решения.,True,173
354,Подтвердить активацию тарифа по email.,False,173
355,Отправить уведомление о продлении хостинга.,False,173
356,Проверить шаблон ответа перед отправкой клиенту.,False,173
357,Выполнить тестовую регистрацию домена.,False,174
358,Завести карточку клиента в сторонней учётной системе.,True,174
359,Перепроверить логи на наличие ошибок входа клиента.,False,174
360,Проверить успешность привязки домена.,True,175
361,Проверить почтовый SPF-запись клиента.,True,175
362,Уточнить информацию у коллег из техподдержки.,False,175
363,Уточнить детали обращения через внутренний чат.,True,175
364,Проверить доступ клиента к панели управления.,False,176
365,Добавить примечание в CRM о ходе обращения.,False,177
366,Назначить ответственное лицо за выполнение задачи.,True,177
367,Выполнить тестовую регистрацию домена.,True,177
368,Добавить напоминание о повторной связи.,True,178
369,Завести карточку клиента в сторонней учётной системе.,True,178
370,Проверить шаблон ответа перед отправкой клиенту.,True,178
371,Перепроверить логи на наличие ошибок входа клиента.,True,179
372,Обновить статус подзадачи в системе.,False,179
373,Подтвердить активацию тарифа по email.,False,179
374,Создать черновик инструкции на основе обращения.,True,179
375,Уточнить детали обращения через внутренний чат.,True,180
376,Выполнить тестовую регистрацию домена.,False,181
377,Выполнить тестовую регистрацию домена.,True,182
378,Уточнить детали обращения через внутренний чат.,False,182
379,Оценить техническую сложность обращения.,False,182
380,Назначить ответственное лицо за выполнение задачи.,False,182
381,Выполнить тестовую регистрацию домена.,False,183
382,Назначить ответственное лицо за выполнение задачи.,True,184
383,Подтвердить активацию тарифа по email.,True,184
384,Проверить успешность привязки домена.,True,184
385,Проверить успешность привязки домена.,False,185
386,Проверить шаблон ответа перед отправкой клиенту.,False,185
387,Проверить наличие активной учётной записи клиента в базе.,True,185
388,Зарегистрировать новое обращение в трекере.,False,185
389,Оценить техническую сложность обращения.,False,186
390,Создать черновик инструкции на основе обращения.,False,187
391,Проверить почтовый SPF-запись клиента.,False,187
392,Приложить скриншоты к заявке клиента.,False,188
393,Оценить техническую сложность обращения.,True,189
394,Проверить успешность привязки домена.,True,190
395,Завести карточку клиента в сторонней учётной системе.,False,190
396,Проверить доступ клиента к панели управления.,True,190
397,Сверить данные клиента с оформленным заказом.,True,191
398,Перепроверить логи на наличие ошибок входа клиента.,True,193
399,Подтвердить активацию тарифа по email.,True,193
400,Оценить техническую сложность обращения.,True,193
401,Уточнить сроки выполнения у технического отдела.,False,194
402,Отправить уведомление о продлении хостинга.,True,195
403,Обновить статус подзадачи в системе.,False,195
404,Зафиксировать результаты тестирования сервиса.,True,195
405,Создать черновик инструкции на основе обращения.,False,195
406,Зафиксировать результаты тестирования сервиса.,True,196
407,Проверить успешность привязки домена.,True,196
408,Зарегистрировать новое обращение в трекере.,True,197
409,Отметить прогресс в CRM.,False,198
410,Проверить наличие активной учётной записи клиента в базе.,True,199
411,Проверить почтовый SPF-запись клиента.,True,199
412,Обновить статус подзадачи в системе.,False,199
413,Создать черновик инструкции на основе обращения.,False,199
414,Проверить наличие активной учётной записи клиента в базе.,False,200
415,Проверить шаблон ответа перед отправкой клиенту.,False,201
416,Уточнить информацию у коллег из техподдержки.,True,203
417,Проверить успешность привязки домена.,True,204
418,Уточнить детали обращения через внутренний чат.,True,204
419,Уточнить информацию у коллег из техподдержки.,False,204
420,Зарегистрировать новое обращение в трекере.,False,204
421,Зарегистрировать новое обращение в трекере.,False,205
422,Проверить почтовый SPF-запись клиента.,True,205
423,Проверить наличие активной учётной записи клиента в базе.,True,205
424,Зафиксировать результаты тестирования сервиса.,True,206
425,Назначить ответственное лицо за выполнение задачи.,True,206
426,Уточнить информацию у коллег из техподдержки.,True,206
427,Проверить доступ клиента к панели управления.,True,206
428,Сверить данные клиента с оформленным заказом.,True,207
429,Уточнить информацию у коллег из техподдержки.,False,207
430,Уточнить сроки выполнения у технического отдела.,True,207
431,Завести карточку клиента в сторонней учётной системе.,True,208
432,Зарегистрировать новое обращение в трекере.,True,208
433,Связаться с клиентом для подтверждения решения.,True,209
434,Создать черновик инструкции на основе обращения.,True,209
435,Оценить техническую сложность обращения.,True,209
436,Связаться с клиентом для подтверждения решения.,True,210
437,Оценить техническую сложность обращения.,True,211
438,Проверить доступ клиента к панели управления.,True,212
439,Проверить шаблон ответа перед отправкой клиенту.,False,212
440,Проверить почтовый SPF-запись клиента.,False,212
441,Сверить данные клиента с оформленным заказом.,False,212
442,Уточнить детали обращения через внутренний чат.,False,214
443,Связаться с клиентом для подтверждения решения.,False,214
444,Уточнить детали обращения через внутренний чат.,False,215
445,Перепроверить логи на наличие ошибок входа клиента.,False,215
446,Подтвердить активацию тарифа по email.,True,215
447,Назначить ответственное лицо за выполнение задачи.,True,215
448,Обновить статус подзадачи в системе.,True,217
449,Проверить успешность привязки домена.,False,217
450,Обновить статус подзадачи в системе.,True,219
451,Уточнить детали обращения через внутренний чат.,True,219
452,Проверить шаблон ответа перед отправкой клиенту.,False,219
453,Приложить скриншоты к заявке клиента.,True,219
454,Проверить успешность привязки домена.,False,220
455,Отправить уведомление о продлении хостинга.,False,220
456,Уточнить информацию у коллег из техподдержки.,True,220
457,Проверить доступ клиента к панели управления.,True,220
458,Уточнить сроки выполнения у технического отдела.,False,221
459,Проверить шаблон ответа перед отправкой клиенту.,False,221
460,Уточнить детали обращения через внутренний чат.,True,221
461,Проверить наличие активной учётной записи клиента в базе.,False,221
462,Зафиксировать результаты тестирования сервиса.,True,223
463,Уточнить детали обращения через внутренний чат.,False,223
464,Завести карточку клиента в сторонней учётной системе.,True,223
465,Проверить доступ клиента к панели управления.,True,224
466,Оценить техническую сложность обращения.,True,224
467,Проверить наличие активной учётной записи клиента в базе.,True,224
468,Завести карточку клиента в сторонней учётной системе.,False,225
469,Уточнить детали обращения через внутренний чат.,True,225
470,Проверить наличие активной учётной записи клиента в базе.,False,226
471,Уточнить информацию у коллег из техподдержки.,False,226
472,Назначить ответственное лицо за выполнение задачи.,True,227
473,Уточнить сроки выполнения у технического отдела.,False,227
