task_id,task_description,task_status,task_creation_date,fk_employee_id
146,Зарегистрировать домен по запросу клиента и уведомить о завершении.,В работе,2022-08-25,229
147,Проконтролировать продление услуги хостинга и уведомить клиента.,В работе,2022-03-29,10
148,Обработать входящее обращение от клиента по поводу сбоя в панели управления.,Открыта,2022-01-05,572
149,Провести опрос удовлетворённости услугой у нового клиента.,Открыта,2023-01-08,693
150,Помочь клиенту с восстановлением доступа к панели управления.,В работе,2022-11-12,822
151,Зарегистрировать домен по запросу клиента и уведомить о завершении.,Открыта,2023-09-17,187
152,Подтвердить оплату и активировать заказанный тариф.,В работе,2022-12-26,548
153,Закрыть заявку клиента по переносу сайта со стороннего хостинга.,Открыта,2024-12-09,711
154,Настроить почтовый ящик и протестировать отправку/приём сообщений.,Завершена,2023-08-12,63
155,Проверить корректность данных клиента в CRM и внести правки.,Открыта,2022-07-15,24
156,Передать запрос клиента техническому отделу на настройку SSL-сертификата.,Завершена,2023-07-30,532
157,Отметить в CRM завершение настройки почтового сервиса.,Открыта,2024-02-02,625
158,Зарегистрировать домен по запросу клиента и уведомить о завершении.,Завершена,2024-11-28,602
159,Провести опрос удовлетворённости услугой у нового клиента.,Открыта,2023-02-28,908
160,Решить технический вопрос по авторизации в личном кабинете клиента.,Открыта,2024-12-12,544
161,Закрыть заявку клиента по переносу сайта со стороннего хостинга.,Открыта,2024-02-02,537
162,Подтвердить оплату и активировать заказанный тариф.,Открыта,2023-05-03,668
163,Зарегистрировать домен по запросу клиента и уведомить о завершении.,Завершена,2023-08-26,421
164,Настроить почтовый ящик и протестировать отправку/приём сообщений.,Открыта,2025-02-06,837
165,Провести консультацию по выбору тарифа для клиента с большим трафиком.,Открыта,2022-07-18,770
166,Ответить на вопрос клиента о различиях между тарифами “Старт” и “Бизнес”.,В работе,2022-02-05,320
167,Настроить почтовый ящик и протестировать отправку/приём сообщений.,Завершена,2024-07-10,974
168,Провести финальную проверку перед запуском сайта клиента.,В работе,2023-09-03,288
169,Настроить почтовый ящик и протестировать отправку/приём сообщений.,Завершена,2022-01-19,61
170,Закрыть заявку клиента по переносу сайта со стороннего хостинга.,В работе,2023-01-22,776
171,Зарегистрировать домен по запросу клиента и уведомить о завершении.,Завершена,2024-09-29,423
172,Обработать входящее обращение от клиента по поводу сбоя в панели управления.,Завершена,2024-10-22,142
173,Закрыть заявку клиента по переносу сайта со стороннего хостинга.,В работе,2025-03-07,569
174,Созвониться с новым клиентом и уточнить детали подключения услуг.,В работе,2024-07-29,625
175,Помочь клиенту с восстановлением доступа к панели управления.,В работе,2024-04-16,179
176,Закрыть заявку клиента по переносу сайта со стороннего хостинга.,В работе,2024-06-23,66
177,Зарегистрировать домен по запросу клиента и уведомить о завершении.,Завершена,2023-07-25,891
178,Подтвердить оплату и активировать заказанный тариф.,Завершена,2022-01-25,139
179,Провести консультацию по выбору тарифа для клиента с большим трафиком.,Завершена,2023-05-09,239
180,Уточнить детали инцидента и оформить заявку в техподдержку.,Открыта,2024-02-23,97
181,Добавить клиента в систему после завершения онлайн-оплаты.,В работе,2022-08-10,797
182,Провести финальную проверку перед запуском сайта клиента.,Открыта,2022-01-02,821
183,Составить и отправить клиенту инструкцию по подключению домена.,В работе,2022-02-06,79
184,Уточнить детали инцидента и оформить заявку в техподдержку.,В работе,2022-09-23,667
185,Уточнить детали инцидента и оформить заявку в техподдержку.,В работе,2023-04-30,969
186,Ответить на вопрос клиента о различиях между тарифами “Старт” и “Бизнес”.,Открыта,2022-03-05,288
187,Решить технический вопрос по авторизации в личном кабинете клиента.,В работе,2023-11-09,946
188,Добавить клиента в систему после завершения онлайн-оплаты.,В работе,2022-01-17,541
189,Составить и отправить клиенту инструкцию по подключению домена.,В работе,2024-05-05,710
190,Подтвердить оплату и активировать заказанный тариф.,Завершена,2023-02-24,414
191,Созвониться с новым клиентом и уточнить детали подключения услуг.,Открыта,2022-01-18,830
192,Решить технический вопрос по авторизации в личном кабинете клиента.,В работе,2022-11-10,606
193,Решить технический вопрос по авторизации в личном кабинете клиента.,В работе,2025-03-18,926
194,Ответить на вопрос клиента о различиях между тарифами “Старт” и “Бизнес”.,Завершена,2022-01-09,913
195,Решить технический вопрос по авторизации в личном кабинете клиента.,Открыта,2023-06-08,303
196,Помочь клиенту с восстановлением доступа к панели управления.,В работе,2023-05-17,84
197,Уточнить детали инцидента и оформить заявку в техподдержку.,Открыта,2022-05-15,439
198,Провести консультацию по выбору тарифа для клиента с большим трафиком.,В работе,2023-10-16,390
199,Добавить клиента в систему после завершения онлайн-оплаты.,В работе,2024-05-14,193
200,Уточнить детали инцидента и оформить заявку в техподдержку.,Открыта,2022-01-16,244
201,Проверить корректность данных клиента в CRM и внести правки.,Завершена,2023-07-03,530
202,Провести консультацию по выбору тарифа для клиента с большим трафиком.,Завершена,2024-08-09,932
203,Проконтролировать продление услуги хостинга и уведомить клиента.,В работе,2024-02-28,148
204,Ответить на вопрос клиента о различиях между тарифами “Старт” и “Бизнес”.,Завершена,2024-02-23,304
205,Зарегистрировать домен по запросу клиента и уведомить о завершении.,Открыта,2022-02-25,453
206,Составить и отправить клиенту инструкцию по подключению домена.,В работе,2024-07-31,568
207,Согласовать перенос времени техработ на сервере по просьбе клиента.,В работе,2025-03-01,350
208,Обработать входящее обращение от клиента по поводу сбоя в панели управления.,Открыта,2022-07-19,375
209,Отметить в CRM завершение настройки почтового сервиса.,Завершена,2025-02-28,704
210,Подтвердить оплату и активировать заказанный тариф.,Открыта,2022-10-18,574
211,Закрыть заявку клиента по переносу сайта со стороннего хостинга.,В работе,2024-07-02,783
212,Провести консультацию по выбору тарифа для клиента с большим трафиком.,Открыта,2023-02-21,885
213,Проконтролировать продление услуги хостинга и уведомить клиента.,В работе,2023-09-06,312
214,Передать запрос клиента техническому отделу на настройку SSL-сертификата.,Открыта,2024-03-21,816
215,Зарегистрировать домен по запросу клиента и уведомить о завершении.,Завершена,2024-03-05,981
216,Согласовать перенос времени техработ на сервере по просьбе клиента.,В работе,2022-06-03,852
217,Закрыть заявку клиента по переносу сайта со стороннего хостинга.,Открыта,2024-01-09,110
218,Провести финальную проверку перед запуском сайта клиента.,В работе,2023-07-10,345
219,Созвониться с новым клиентом и уточнить детали подключения услуг.,В работе,2024-07-01,609
220,Помочь клиенту с восстановлением доступа к панели управления.,Открыта,2024-05-02,60
221,Созвониться с новым клиентом и уточнить детали подключения услуг.,Открыта,2024-08-23,682
222,Отметить в CRM завершение настройки почтового сервиса.,Завершена,2023-12-03,788
223,Созвониться с новым клиентом и уточнить детали подключения услуг.,Открыта,2024-12-14,914
224,Помочь клиенту с восстановлением доступа к панели управления.,Открыта,2024-03-23,849
225,Зарегистрировать домен по запросу клиента и уведомить о завершении.,Завершена,2022-03-04,987
226,Подтвердить оплату и активировать заказанный тариф.,В работе,2024-09-03,597
227,Передать запрос клиента техническому отделу на настройку SSL-сертификата.,Открыта,2023-10-11,42
228,Провести консультацию по выбору тарифа для клиента с большим трафиком.,В работе,2022-08-02,340
229,Уточнить детали инцидента и оформить заявку в техподдержку.,Открыта,2023-03-20,369
230,Зарегистрировать домен по запросу клиента и уведомить о завершении.,Завершена,2022-12-04,872
231,Зарегистрировать домен по запросу клиента и уведомить о завершении.,Открыта,2024-09-02,727
232,Закрыть заявку клиента по переносу сайта со стороннего хостинга.,В работе,2024-03-15,679
233,Созвониться с новым клиентом и уточнить детали подключения услуг.,Завершена,2024-03-24,579
234,Составить и отправить клиенту инструкцию по подключению домена.,В работе,2024-10-27,816
235,Закрыть заявку клиента по переносу сайта со стороннего хостинга.,Завершена,2023-05-16,893
236,Добавить клиента в систему после завершения онлайн-оплаты.,Открыта,2023-11-18,688
237,Подтвердить оплату и активировать заказанный тариф.,Открыта,2024-03-12,721
238,Отметить в CRM завершение настройки почтового сервиса.,Открыта,2023-02-10,537
239,Провести опрос удовлетворённости услугой у нового клиента.,Завершена,2023-06-03,258
240,Проверить корректность данных клиента в CRM и внести правки.,В работе,2025-03-23,367
241,Закрыть заявку клиента по переносу сайта со стороннего хостинга.,Открыта,2022-11-03,579
242,Уточнить детали инцидента и оформить заявку в техподдержку.,В работе,2023-03-27,473
243,Подтвердить оплату и активировать заказанный тариф.,В работе,2024-02-01,180
244,Решить технический вопрос по авторизации в личном кабинете клиента.,Открыта,2022-08-02,206
245,Провести опрос удовлетворённости услугой у нового клиента.,Завершена,2023-06-18,834
246,Настроить почтовый ящик и протестировать отправку/приём сообщений.,Открыта,2024-07-09,848
247,Проконтролировать продление услуги хостинга и уведомить клиента.,Открыта,2024-07-05,461
248,Передать запрос клиента техническому отделу на настройку SSL-сертификата.,В работе,2023-04-19,271
249,Закрыть заявку клиента по переносу сайта со стороннего хостинга.,Завершена,2022-07-06,880
250,Помочь клиенту с восстановлением доступа к панели управления.,В работе,2024-06-29,945
251,Зарегистрировать домен по запросу клиента и уведомить о завершении.,В работе,2024-07-05,458
252,Провести финальную проверку перед запуском сайта клиента.,В работе,2023-04-26,710
253,Созвониться с новым клиентом и уточнить детали подключения услуг.,В работе,2022-09-21,790
254,Решить технический вопрос по авторизации в личном кабинете клиента.,Открыта,2024-12-19,885
255,Провести опрос удовлетворённости услугой у нового клиента.,В работе,2022-02-01,795
256,Передать запрос клиента техническому отделу на настройку SSL-сертификата.,Открыта,2024-06-21,293
257,Обработать входящее обращение от клиента по поводу сбоя в панели управления.,Открыта,2023-06-27,977
258,Проконтролировать продление услуги хостинга и уведомить клиента.,Открыта,2023-01-07,74
259,Провести консультацию по выбору тарифа для клиента с большим трафиком.,Открыта,2022-09-10,139
260,Проверить корректность данных клиента в CRM и внести правки.,В работе,2024-09-20,514
261,Передать запрос клиента техническому отделу на настройку SSL-сертификата.,В работе,2022-08-30,273
262,Добавить клиента в систему после завершения онлайн-оплаты.,Завершена,2024-11-03,998
263,Ответить на вопрос клиента о различиях между тарифами “Старт” и “Бизнес”.,В работе,2022-04-23,705
264,Уточнить детали инцидента и оформить заявку в техподдержку.,Завершена,2022-02-13,421
265,Провести опрос удовлетворённости услугой у нового клиента.,В работе,2023-03-04,72
266,Ответить на вопрос клиента о различиях между тарифами “Старт” и “Бизнес”.,В работе,2023-10-26,237
267,Ответить на вопрос клиента о различиях между тарифами “Старт” и “Бизнес”.,Завершена,2024-11-20,588
268,Решить технический вопрос по авторизации в личном кабинете клиента.,Открыта,2024-05-25,162
269,Созвониться с новым клиентом и уточнить детали подключения услуг.,Завершена,2022-04-29,929
270,Добавить клиента в систему после завершения онлайн-оплаты.,Открыта,2022-12-07,625
271,Провести опрос удовлетворённости услугой у нового клиента.,Открыта,2024-05-16,768
272,Провести финальную проверку перед запуском сайта клиента.,В работе,2024-10-09,6
273,Составить и отправить клиенту инструкцию по подключению домена.,В работе,2023-05-12,324
274,Ответить на вопрос клиента о различиях между тарифами “Старт” и “Бизнес”.,В работе,2024-12-24,675
275,Провести финальную проверку перед запуском сайта клиента.,Открыта,2023-05-08,70
276,Созвониться с новым клиентом и уточнить детали подключения услуг.,Открыта,2024-02-01,260
277,Помочь клиенту с восстановлением доступа к панели управления.,Завершена,2022-02-15,52
278,Ответить на вопрос клиента о различиях между тарифами “Старт” и “Бизнес”.,В работе,2023-11-11,178
279,Решить технический вопрос по авторизации в личном кабинете клиента.,Завершена,2024-10-13,630
280,Передать запрос клиента техническому отделу на настройку SSL-сертификата.,Открыта,2024-09-30,696
281,Провести опрос удовлетворённости услугой у нового клиента.,Открыта,2024-03-13,217
282,Решить технический вопрос по авторизации в личном кабинете клиента.,Открыта,2024-10-16,813
283,Обработать входящее обращение от клиента по поводу сбоя в панели управления.,Открыта,2024-07-30,124
284,Закрыть заявку клиента по переносу сайта со стороннего хостинга.,Открыта,2022-06-18,364
285,Проконтролировать продление услуги хостинга и уведомить клиента.,Завершена,2023-06-15,928
286,Созвониться с новым клиентом и уточнить детали подключения услуг.,Открыта,2022-07-24,316
287,Проконтролировать продление услуги хостинга и уведомить клиента.,Завершена,2024-03-09,740
288,Решить технический вопрос по авторизации в личном кабинете клиента.,Завершена,2023-10-20,769
289,Передать запрос клиента техническому отделу на настройку SSL-сертификата.,Завершена,2023-10-28,358
290,Проверить корректность данных клиента в CRM и внести правки.,В работе,2023-02-01,99
